Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352901.1984103,821,0,0,,42.34066666666666,-71.08802166666666,12.1,327996.81642975257,4689712.636291761,19.0,T,0
1646352902.1946805,822,0,0,,42.34070333333334,-71.08792666666668,12.0,328004.74246955715,4689716.515670808,19.0,T,0
1646352903.198325,823,0,0,,42.34073833333333,-71.08783833333335,11.9,328012.1147593589,4689720.223473054,19.0,T,0
1646352904.2001772,824,0,0,,42.34077000000001,-71.08776,11.9,328018.6541583448,4689723.581368426,19.0,T,0
1646352905.2025037,825,0,0,,42.34079666666667,-71.08769000000001,11.8,328024.49342381314,4689726.400912861,19.0,T,0
1646352906.193033,826,0,0,,42.34082,-71.08762833333333,11.8,328029.63710184797,4689728.867175389,19.0,T,0
1646352907.2011044,827,0,0,,42.34084166666666,-71.08757499999999,11.8,328034.0897377595,4689731.165225236,19.0,T,0
1646352908.202574,828,0,0,,42.34086166666666,-71.087525,11.8,328038.2632292564,4689733.284948706,19.0,T,0
1646352909.1996975,829,0,0,,42.34087833333333,-71.08748,11.8,328042.01573454717,4689735.044645323,19.0,T,0
1646352910.2024722,830,0,0,,42.340896666666666,-71.08743333333332,11.8,328045.9100801337,4689736.986043965,19.0,T,0
1646352911.2022014,831,0,0,,42.340915,-71.08738666666666,11.8,328049.8044234883,4689738.927444714,19.0,T,0
1646352912.201899,832,0,0,,42.34093500000001,-71.08733500000001,11.8,328054.1152040245,4689741.043806799,19.0,T,0
1646352913.2030015,833,0,0,,42.34095666666667,-71.08728,11.7,328058.7051223398,4689743.338501374,19.0,T,0
1646352914.2065675,834,0,0,,42.340981666666664,-71.08721666666666,11.9,328063.99061664235,4689745.986488772,19.0,T,0
1646352915.2061634,835,0,0,,42.341013333333336,-71.08714833333333,12.0,328069.70617382793,4689749.364652339,19.0,T,0
1646352916.212518,836,0,0,,42.341045,-71.08707333333334,12.1,328075.97091931326,4689752.729340123,19.0,T,0
1646352917.2054782,837,0,0,,42.34107666666667,-71.08699333333335,12.2,328082.6475538573,4689756.08392351,19.0,T,0
1646352918.2058904,838,0,0,,42.34110999999999,-71.08691666666667,12.3,328089.0541274429,4689759.630323434,19.0,T,0
1646352919.2034907,839,0,0,,42.34114666666666,-71.08684666666667,12.3,328094.920585673,4689763.560349282,19.0,T,0
1646352920.2075424,840,0,0,,42.34118000000001,-71.08678666666665,12.4,328099.9541640576,4689767.140456033,19.0,T,0
1646352921.2029412,841,0,0,,42.34121166666667,-71.086735,12.3,328104.2967047414,4689770.552343138,19.0,T,0
1646352922.2061024,842,0,0,,42.34123666666666,-71.08669666666667,12.2,328107.52268935426,4689773.250905565,19.0,T,0
1646352923.2045155,843,0,0,,42.341256666666666,-71.08666666666666,12.2,328110.04855605384,4689775.411104302,19.0,T,0
1646352924.2083807,844,0,0,,42.34127,-71.08664833333334,12.2,328111.5951683336,4689776.854606659,19.0,T,0
1646352925.2096186,845,0,0,,42.34127833333334,-71.08663833333334,12.2,328112.4416649652,4689777.759743997,19.0,T,0
1646352926.2122495,846,0,0,,42.34128166666667,-71.086635,12.2,328112.72534437006,4689778.123146702,19.0,T,0
1646352927.2109256,847,0,0,,42.34128166666667,-71.08663166666668,12.2,328112.99994029745,4689778.116407979,19.0,T,0
1646352928.2195485,848,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352929.2105598,849,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352930.2105258,850,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352931.2103503,851,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352932.2104998,852,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352933.2286994,853,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352934.210161,854,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352935.211115,855,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352936.203422,856,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352937.2287269,857,0,0,,42.34128166666667,-71.08663333333334,12.2,328112.8626423348,4689778.1197773395,19.0,T,0
1646352938.2126102,858,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352939.2106724,859,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352940.211067,860,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352941.2036703,861,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352942.2065208,862,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352943.2125025,863,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352944.2067275,864,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352945.2092931,865,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352946.2067454,866,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352947.2063272,867,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352948.2043996,868,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352949.2138455,869,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
1646352950.2099268,870,0,0,,42.34128166666667,-71.08663333333334,12.3,328112.8626423348,4689778.1197773395,19.0,T,0
